year_month,year,month,region,temp_anomaly_c,temp_anomaly_baseline,co2_ppm
2000-08,2000,8,Northern_Hemisphere,0.597,1951-1980,
2000-08,2000,8,Southern_Hemisphere,0.399,1951-1980,
2000-08,2000,8,Tropics,0.248,1951-1980,
2000-08,2000,8,North_America,0.665,1951-1980,
2000-08,2000,8,Europe,0.782,1951-1980,
2000-08,2000,8,Asia,0.623,1951-1980,
2000-09,2000,9,Global,0.422,1951-1980,367.47
2000-09,2000,9,Arctic,1.596,1951-1980,
2000-09,2000,9,Northern_Hemisphere,0.613,1951-1980,
2000-09,2000,9,Southern_Hemisphere,0.273,1951-1980,
2000-09,2000,9,Tropics,0.298,1951-1980,
2000-09,2000,9,North_America,0.737,1951-1980,
2000-09,2000,9,Europe,0.767,1951-1980,
2000-09,2000,9,Asia,0.479,1951-1980,
2000-10,2000,10,Global,0.418,1951-1980,366.34
2000-10,2000,10,Arctic,1.604,1951-1980,
2000-10,2000,10,Northern_Hemisphere,0.635,1951-1980,
2000-10,2000,10,Southern_Hemisphere,0.327,1951-1980,
2000-10,2000,10,Tropics,0.219,1951-1980,
2000-10,2000,10,North_America,0.661,1951-1980,
2000-10,2000,10,Europe,0.762,1951-1980,
2000-10,2000,10,Asia,0.549,1951-1980,
2000-11,2000,11,Global,0.421,1951-1980,365.78
2000-11,2000,11,Arctic,1.736,1951-1980,
2000-11,2000,11,Northern_Hemisphere,0.636,1951-1980,
2000-11,2000,11,Southern_Hemisphere,0.377,1951-1980,
2000-11,2000,11,Tropics,0.286,1951-1980,
2000-11,2000,11,North_America,0.648,1951-1980,
2000-11,2000,11,Europe,0.751,1951-1980,
2000-11,2000,11,Asia,0.527,1951-1980,
2000-12,2000,12,Global,0.535,1951-1980,366.52
2000-12,2000,12,Arctic,1.673,1951-1980,
2000-12,2000,12,Northern_Hemisphere,0.669,1951-1980,
2000-12,2000,12,Southern_Hemisphere,0.335,1951-1980,
2000-12,2000,12,Tropics,0.321,1951-1980,
2000-12,2000,12,North_America,0.697,1951-1980,
2000-12,2000,12,Europe,0.731,1951-1980,
2000-12,2000,12,Asia,0.662,1951-1980,
2001-01,2001,1,Global,0.473,1951-1980,370.09
2001-01,2001,1,Arctic,1.664,1951-1980,
2001-01,2001,1,Northern_Hemisphere,0.66,1951-1980,
2001-01,2001,1,Southern_Hemisphere,0.366,1951-1980,
2001-01,2001,1,Tropics,0.331,1951-1980,
2001-01,2001,1,North_America,0.711,1951-1980,
2001-01,2001,1,Europe,0.723,1951-1980,
2001-01,2001,1,Asia,0.576,1951-1980,
2001-02,2001,2,Global,0.469,1951-1980,371.3
2001-02,2001,2,Arctic,1.775,1951-1980,
2001-02,2001,2,Northern_Hemisphere,0.653,1951-1980,
2001-02,2001,2,Southern_Hemisphere,0.367,1951-1980,
2001-02,2001,2,Tropics,0.352,1951-1980,
2001-02,2001,2,North_America,0.72,1951-1980,
2001-02,2001,2,Europe,0.816,1951-1980,
2001-02,2001,2,Asia,0.634,1951-1980,
2001-03,2001,3,Global,0.52,1951-1980,373.22
2001-03,2001,3,Arctic,1.864,1951-1980,
2001-03,2001,3,Northern_Hemisphere,0.632,1951-1980,
2001-03,2001,3,Southern_Hemisphere,0.333,1951-1980,
2001-03,2001,3,Tropics,0.354,1951-1980,
2001-03,2001,3,North_America,0.712,1951-1980,
2001-03,2001,3,Europe,0.755,1951-1980,
2001-03,2001,3,Asia,0.598,1951-1980,
2001-04,2001,4,Global,0.49,1951-1980,374.4
2001-04,2001,4,Arctic,1.716,1951-1980,
2001-04,2001,4,Northern_Hemisphere,0.761,1951-1980,
2001-04,2001,4,Southern_Hemisphere,0.355,1951-1980,
2001-04,2001,4,Tropics,0.464,1951-1980,
2001-04,2001,4,North_America,0.737,1951-1980,
2001-04,2001,4,Europe,0.922,1951-1980,
2001-04,2001,4,Asia,0.641,1951-1980,
2001-05,2001,5,Global,0.545,1951-1980,374.79
2001-05,2001,5,Arctic,1.798,1951-1980,
2001-05,2001,5,Northern_Hemisphere,0.671,1951-1980,
2001-05,2001,5,Southern_Hemisphere,0.409,1951-1980,
2001-05,2001,5,Tropics,0.368,1951-1980,
2001-05,2001,5,North_America,0.763,1951-1980,
2001-05,2001,5,Europe,0.861,1951-1980,
2001-05,2001,5,Asia,0.626,1951-1980,
2001-06,2001,6,Global,0.522,1951-1980,375.06
2001-06,2001,6,Arctic,1.879,1951-1980,
2001-06,2001,6,Northern_Hemisphere,0.65,1951-1980,
2001-06,2001,6,Southern_Hemisphere,0.445,1951-1980,
2001-06,2001,6,Tropics,0.365,1951-1980,
2001-06,2001,6,North_America,0.795,1951-1980,
2001-06,2001,6,Europe,0.817,1951-1980,
2001-06,2001,6,Asia,0.666,1951-1980,
2001-07,2001,7,Global,0.51,1951-1980,373.12
2001-07,2001,7,Arctic,1.815,1951-1980,
2001-07,2001,7,Northern_Hemisphere,0.737,1951-1980,
2001-07,2001,7,Southern_Hemisphere,0.382,1951-1980,
2001-07,2001,7,Tropics,0.351,1951-1980,
2001-07,2001,7,North_America,0.686,1951-1980,
2001-07,2001,7,Europe,0.93,1951-1980,
2001-07,2001,7,Asia,0.687,1951-1980,
2001-08,2001,8,Global,0.515,1951-1980,371.08
2001-08,2001,8,Arctic,1.822,1951-1980,
2001-08,2001,8,Northern_Hemisphere,0.699,1951-1980,
2001-08,2001,8,Southern_Hemisphere,0.433,1951-1980,
2001-08,2001,8,Tropics,0.403,1951-1980,
2001-08,2001,8,North_America,0.788,1951-1980,
2001-08,2001,8,Europe,0.863,1951-1980,
2001-08,2001,8,Asia,0.689,1951-1980,
2001-09,2001,9,Global,0.547,1951-1980,369.59
2001-09,2001,9,Arctic,1.895,1951-1980,
2001-09,2001,9,Northern_Hemisphere,0.749,1951-1980,
2001-09,2001,9,Southern_Hemisphere,0.32,1951-1980,
2001-09,2001,9,Tropics,0.282,1951-1980,
2001-09,2001,9,North_America,0.816,1951-1980,
2001-09,2001,9,Europe,0.834,1951-1980,
2001-09,2001,9,Asia,0.65,1951-1980,
2001-10,2001,10,Global,0.492,1951-1980,368.46
2001-10,2001,10,Arctic,1.912,1951-1980,
2001-10,2001,10,Northern_Hemisphere,0.589,1951-1980,
2001-10,2001,10,Southern_Hemisphere,0.387,1951-1980,
2001-10,2001,10,Tropics,0.395,1951-1980,
2001-10,2001,10,North_America,0.737,1951-1980,
2001-10,2001,10,Europe,0.806,1951-1980,
2001-10,2001,10,Asia,0.668,1951-1980,
2001-11,2001,11,Global,0.504,1951-1980,368.14
2001-11,2001,11,Arctic,1.931,1951-1980,
2001-11,2001,11,Northern_Hemisphere,0.7,1951-1980,
2001-11,2001,11,Southern_Hemisphere,0.356,1951-1980,
2001-11,2001,11,Tropics,0.33,1951-1980,
2001-11,2001,11,North_America,0.812,1951-1980,
2001-11,2001,11,Europe,0.876,1951-1980,
2001-11,2001,11,Asia,0.633,1951-1980,
2001-12,2001,12,Global,0.548,1951-1980,368.62
2001-12,2001,12,Arctic,1.915,1951-1980,
2001-12,2001,12,Northern_Hemisphere,0.739,1951-1980,
2001-12,2001,12,Southern_Hemisphere,0.425,1951-1980,
2001-12,2001,12,Tropics,0.339,1951-1980,
2001-12,2001,12,North_America,0.852,1951-1980,
2001-12,2001,12,Europe,0.902,1951-1980,
2001-12,2001,12,Asia,0.613,1951-1980,
2002-01,2002,1,Global,0.492,1951-1980,371.31
2002-01,2002,1,Arctic,1.963,1951-1980,
2002-01,2002,1,Northern_Hemisphere,0.734,1951-1980,
2002-01,2002,1,Southern_Hemisphere,0.325,1951-1980,
2002-01,2002,1,Tropics,0.342,1951-1980,
2002-01,2002,1,North_America,0.834,1951-1980,
2002-01,2002,1,Europe,0.948,1951-1980,
2002-01,2002,1,Asia,0.716,1951-1980,
2002-02,2002,2,Global,0.565,1951-1980,373.36
2002-02,2002,2,Arctic,2.009,1951-1980,
2002-02,2002,2,Northern_Hemisphere,0.761,1951-1980,
2002-02,2002,2,Southern_Hemisphere,0.427,1951-1980,
2002-02,2002,2,Tropics,0.296,1951-1980,
2002-02,2002,2,North_America,0.765,1951-1980,
2002-02,2002,2,Europe,0.91,1951-1980,
2002-02,2002,2,Asia,0.701,1951-1980,
2002-03,2002,3,Global,0.628,1951-1980,375.45
2002-03,2002,3,Arctic,2.0,1951-1980,
2002-03,2002,3,Northern_Hemisphere,0.758,1951-1980,
2002-03,2002,3,Southern_Hemisphere,0.419,1951-1980,
2002-03,2002,3,Tropics,0.351,1951-1980,
2002-03,2002,3,North_America,0.872,1951-1980,
2002-03,2002,3,Europe,0.898,1951-1980,
2002-03,2002,3,Asia,0.685,1951-1980,
2002-04,2002,4,Global,0.588,1951-1980,375.78
2002-04,2002,4,Arctic,2.063,1951-1980,
2002-04,2002,4,Northern_Hemisphere,0.744,1951-1980,
2002-04,2002,4,Southern_Hemisphere,0.424,1951-1980,
2002-04,2002,4,Tropics,0.385,1951-1980,
2002-04,2002,4,North_America,0.866,1951-1980,
2002-04,2002,4,Europe,0.952,1951-1980,
2002-04,2002,4,Asia,0.779,1951-1980,
2002-05,2002,5,Global,0.641,1951-1980,376.92
2002-05,2002,5,Arctic,2.038,1951-1980,
2002-05,2002,5,Northern_Hemisphere,0.848,1951-1980,
2002-05,2002,5,Southern_Hemisphere,0.454,1951-1980,
2002-05,2002,5,Tropics,0.437,1951-1980,
2002-05,2002,5,North_America,0.87,1951-1980,
2002-05,2002,5,Europe,0.985,1951-1980,
2002-05,2002,5,Asia,0.677,1951-1980,
2002-06,2002,6,Global,0.55,1951-1980,376.19
2002-06,2002,6,Arctic,2.045,1951-1980,
2002-06,2002,6,Northern_Hemisphere,0.815,1951-1980,
2002-06,2002,6,Southern_Hemisphere,0.463,1951-1980,
2002-06,2002,6,Tropics,0.379,1951-1980,
2002-06,2002,6,North_America,0.883,1951-1980,
2002-06,2002,6,Europe,1.018,1951-1980,
2002-06,2002,6,Asia,0.741,1951-1980,
2002-07,2002,7,Global,0.6,1951-1980,375.48
2002-07,2002,7,Arctic,2.071,1951-1980,
2002-07,2002,7,Northern_Hemisphere,0.766,1951-1980,
2002-07,2002,7,Southern_Hemisphere,0.412,1951-1980,
2002-07,2002,7,Tropics,0.35,1951-1980,
2002-07,2002,7,North_America,0.9,1951-1980,
2002-07,2002,7,Europe,0.963,1951-1980,
2002-07,2002,7,Asia,0.726,1951-1980,
2002-08,2002,8,Global,0.593,1951-1980,373.2
2002-08,2002,8,Arctic,2.078,1951-1980,
2002-08,2002,8,Northern_Hemisphere,0.9,1951-1980,
2002-08,2002,8,Southern_Hemisphere,0.489,1951-1980,
2002-08,2002,8,Tropics,0.339,1951-1980,
2002-08,2002,8,North_America,1.032,1951-1980,
2002-08,2002,8,Europe,1.032,1951-1980,
2002-08,2002,8,Asia,0.753,1951-1980,
2002-09,2002,9,Global,0.669,1951-1980,371.52
2002-09,2002,9,Arctic,2.203,1951-1980,
2002-09,2002,9,Northern_Hemisphere,0.873,1951-1980,
2002-09,2002,9,Southern_Hemisphere,0.551,1951-1980,
2002-09,2002,9,Tropics,0.416,1951-1980,
2002-09,2002,9,North_America,0.99,1951-1980,
2002-09,2002,9,Europe,1.113,1951-1980,
2002-09,2002,9,Asia,0.874,1951-1980,
2002-10,2002,10,Global,0.679,1951-1980,370.74
2002-10,2002,10,Arctic,2.175,1951-1980,
2002-10,2002,10,Northern_Hemisphere,0.833,1951-1980,
2002-10,2002,10,Southern_Hemisphere,0.454,1951-1980,
2002-10,2002,10,Tropics,0.434,1951-1980,
2002-10,2002,10,North_America,0.846,1951-1980,
2002-10,2002,10,Europe,0.996,1951-1980,
2002-10,2002,10,Asia,0.83,1951-1980,
2002-11,2002,11,Global,0.667,1951-1980,369.75
2002-11,2002,11,Arctic,2.221,1951-1980,
2002-11,2002,11,Northern_Hemisphere,0.889,1951-1980,
2002-11,2002,11,Southern_Hemisphere,0.539,1951-1980,
2002-11,2002,11,Tropics,0.474,1951-1980,
2002-11,2002,11,North_America,0.95,1951-1980,
2002-11,2002,11,Europe,1.046,1951-1980,
2002-11,2002,11,Asia,0.781,1951-1980,
2002-12,2002,12,Global,0.687,1951-1980,370.37
2002-12,2002,12,Arctic,2.242,1951-1980,
2002-12,2002,12,Northern_Hemisphere,0.912,1951-1980,
2002-12,2002,12,Southern_Hemisphere,0.529,1951-1980,
2002-12,2002,12,Tropics,0.495,1951-1980,
2002-12,2002,12,North_America,0.911,1951-1980,
2002-12,2002,12,Europe,1.103,1951-1980,
2002-12,2002,12,Asia,0.853,1951-1980,
2003-01,2003,1,Global,0.753,1951-1980,373.82
2003-01,2003,1,Arctic,2.237,1951-1980,
2003-01,2003,1,Northern_Hemisphere,0.788,1951-1980,
2003-01,2003,1,Southern_Hemisphere,0.533,1951-1980,
2003-01,2003,1,Tropics,0.511,1951-1980,
2003-01,2003,1,North_America,0.931,1951-1980,
2003-01,2003,1,Europe,1.111,1951-1980,
2003-01,2003,1,Asia,0.805,1951-1980,
2003-02,2003,2,Global,0.781,1951-1980,374.7
2003-02,2003,2,Arctic,2.203,1951-1980,
2003-02,2003,2,Northern_Hemisphere,0.873,1951-1980,
2003-02,2003,2,Southern_Hemisphere,0.563,1951-1980,
2003-02,2003,2,Tropics,0.513,1951-1980,
2003-02,2003,2,North_America,1.038,1951-1980,
2003-02,2003,2,Europe,1.085,1951-1980,
2003-02,2003,2,Asia,0.893,1951-1980,
2003-03,2003,3,Global,0.647,1951-1980,377.11
2003-03,2003,3,Arctic,2.217,1951-1980,
2003-03,2003,3,Northern_Hemisphere,0.843,1951-1980,
2003-03,2003,3,Southern_Hemisphere,0.528,1951-1980,
2003-03,2003,3,Tropics,0.527,1951-1980,
2003-03,2003,3,North_America,0.968,1951-1980,
2003-03,2003,3,Europe,1.099,1951-1980,
2003-03,2003,3,Asia,0.88,1951-1980,
2003-04,2003,4,Global,0.736,1951-1980,378.07
2003-04,2003,4,Arctic,2.242,1951-1980,
2003-04,2003,4,Northern_Hemisphere,0.86,1951-1980,
2003-04,2003,4,Southern_Hemisphere,0.627,1951-1980,
2003-04,2003,4,Tropics,0.485,1951-1980,
2003-04,2003,4,North_America,0.982,1951-1980,
2003-04,2003,4,Europe,1.11,1951-1980,
2003-04,2003,4,Asia,0.894,1951-1980,
2003-05,2003,5,Global,0.653,1951-1980,378.91
2003-05,2003,5,Arctic,2.335,1951-1980,
2003-05,2003,5,Northern_Hemisphere,0.884,1951-1980,
2003-05,2003,5,Southern_Hemisphere,0.584,1951-1980,
2003-05,2003,5,Tropics,0.504,1951-1980,
2003-05,2003,5,North_America,1.064,1951-1980,
2003-05,2003,5,Europe,1.18,1951-1980,
2003-05,2003,5,Asia,0.891,1951-1980,
2003-06,2003,6,Global,0.67,1951-1980,378.28
2003-06,2003,6,Arctic,2.291,1951-1980,
2003-06,2003,6,Northern_Hemisphere,0.822,1951-1980,
2003-06,2003,6,Southern_Hemisphere,0.515,1951-1980,
2003-06,2003,6,Tropics,0.486,1951-1980,
2003-06,2003,6,North_America,0.917,1951-1980,
2003-06,2003,6,Europe,1.084,1951-1980,
2003-06,2003,6,Asia,0.89,1951-1980,
2003-07,2003,7,Global,0.586,1951-1980,376.55
2003-07,2003,7,Arctic,2.183,1951-1980,
2003-07,2003,7,Northern_Hemisphere,0.894,1951-1980,
2003-07,2003,7,Southern_Hemisphere,0.476,1951-1980,
2003-07,2003,7,Tropics,0.432,1951-1980,
2003-07,2003,7,North_America,0.941,1951-1980,
2003-07,2003,7,Europe,0.996,1951-1980,
2003-07,2003,7,Asia,0.799,1951-1980,
2003-08,2003,8,Global,0.585,1951-1980,375.07
2003-08,2003,8,Arctic,2.149,1951-1980,
2003-08,2003,8,Northern_Hemisphere,0.825,1951-1980,
2003-08,2003,8,Southern_Hemisphere,0.417,1951-1980,
2003-08,2003,8,Tropics,0.296,1951-1980,
2003-08,2003,8,North_America,0.843,1951-1980,
2003-08,2003,8,Europe,1.047,1951-1980,
2003-08,2003,8,Asia,0.715,1951-1980,
2003-09,2003,9,Global,0.637,1951-1980,373.16
2003-09,2003,9,Arctic,2.09,1951-1980,
2003-09,2003,9,Northern_Hemisphere,0.77,1951-1980,
2003-09,2003,9,Southern_Hemisphere,0.442,1951-1980,
2003-09,2003,9,Tropics,0.339,1951-1980,
2003-09,2003,9,North_America,0.862,1951-1980,
2003-09,2003,9,Europe,0.931,1951-1980,
2003-09,2003,9,Asia,0.734,1951-1980,
2003-10,2003,10,Global,0.588,1951-1980,372.51
2003-10,2003,10,Arctic,2.03,1951-1980,
2003-10,2003,10,Northern_Hemisphere,0.738,1951-1980,
2003-10,2003,10,Southern_Hemisphere,0.45,1951-1980,
2003-10,2003,10,Tropics,0.332,1951-1980,
2003-10,2003,10,North_America,0.885,1951-1980,
2003-10,2003,10,Europe,1.011,1951-1980,
2003-10,2003,10,Asia,0.756,1951-1980,
2003-11,2003,11,Global,0.625,1951-1980,371.94
2003-11,2003,11,Arctic,2.056,1951-1980,
2003-11,2003,11,Northern_Hemisphere,0.817,1951-1980,
2003-11,2003,11,Southern_Hemisphere,0.4,1951-1980,
2003-11,2003,11,Tropics,0.384,1951-1980,
2003-11,2003,11,North_America,0.94,1951-1980,
2003-11,2003,11,Europe,0.976,1951-1980,
2003-11,2003,11,Asia,0.747,1951-1980,
2003-12,2003,12,Global,0.559,1951-1980,372.78
2003-12,2003,12,Arctic,2.196,1951-1980,
2003-12,2003,12,Northern_Hemisphere,0.746,1951-1980,
2003-12,2003,12,Southern_Hemisphere,0.473,1951-1980,
2003-12,2003,12,Tropics,0.436,1951-1980,
2003-12,2003,12,North_America,0.904,1951-1980,
2003-12,2003,12,Europe,1.01,1951-1980,
2003-12,2003,12,Asia,0.756,1951-1980,
2004-01,2004,1,Global,0.553,1951-1980,375.85
2004-01,2004,1,Arctic,2.183,1951-1980,
2004-01,2004,1,Northern_Hemisphere,0.796,1951-1980,
2004-01,2004,1,Southern_Hemisphere,0.454,1951-1980,
2004-01,2004,1,Tropics,0.349,1951-1980,
2004-01,2004,1,North_America,0.878,1951-1980,
2004-01,2004,1,Europe,0.995,1951-1980,
2004-01,2004,1,Asia,0.827,1951-1980,
2004-02,2004,2,Global,0.609,1951-1980,377.17
2004-02,2004,2,Arctic,2.105,1951-1980,
2004-02,2004,2,Northern_Hemisphere,0.744,1951-1980,
2004-02,2004,2,Southern_Hemisphere,0.429,1951-1980,
2004-02,2004,2,Tropics,0.419,1951-1980,
2004-02,2004,2,North_America,0.806,1951-1980,
2004-02,2004,2,Europe,1.037,1951-1980,
2004-02,2004,2,Asia,0.799,1951-1980,
2004-03,2004,3,Global,0.576,1951-1980,378.52
2004-03,2004,3,Arctic,2.105,1951-1980,
2004-03,2004,3,Northern_Hemisphere,0.839,1951-1980,
2004-03,2004,3,Southern_Hemisphere,0.456,1951-1980,
2004-03,2004,3,Tropics,0.39,1951-1980,
2004-03,2004,3,North_America,0.869,1951-1980,
2004-03,2004,3,Europe,1.005,1951-1980,
2004-03,2004,3,Asia,0.733,1951-1980,
2004-04,2004,4,Global,0.591,1951-1980,380.2
2004-04,2004,4,Arctic,2.084,1951-1980,
2004-04,2004,4,Northern_Hemisphere,0.763,1951-1980,
2004-04,2004,4,Southern_Hemisphere,0.414,1951-1980,
2004-04,2004,4,Tropics,0.327,1951-1980,
2004-04,2004,4,North_America,0.872,1951-1980,
2004-04,2004,4,Europe,1.037,1951-1980,
2004-04,2004,4,Asia,0.769,1951-1980,
2004-05,2004,5,Global,0.553,1951-1980,380.49
2004-05,2004,5,Arctic,2.02,1951-1980,
2004-05,2004,5,Northern_Hemisphere,0.759,1951-1980,
2004-05,2004,5,Southern_Hemisphere,0.527,1951-1980,
2004-05,2004,5,Tropics,0.471,1951-1980,
2004-05,2004,5,North_America,0.93,1951-1980,
2004-05,2004,5,Europe,0.981,1951-1980,
2004-05,2004,5,Asia,0.871,1951-1980,
2004-06,2004,6,Global,0.557,1951-1980,380.42
2004-06,2004,6,Arctic,2.008,1951-1980,
2004-06,2004,6,Northern_Hemisphere,0.794,1951-1980,
2004-06,2004,6,Southern_Hemisphere,0.452,1951-1980,
2004-06,2004,6,Tropics,0.397,1951-1980,
2004-06,2004,6,North_America,0.766,1951-1980,
2004-06,2004,6,Europe,0.919,1951-1980,
2004-06,2004,6,Asia,0.726,1951-1980,
2004-07,2004,7,Global,0.542,1951-1980,379.1
2004-07,2004,7,Arctic,1.939,1951-1980,
2004-07,2004,7,Northern_Hemisphere,0.717,1951-1980,
2004-07,2004,7,Southern_Hemisphere,0.438,1951-1980,
2004-07,2004,7,Tropics,0.399,1951-1980,
2004-07,2004,7,North_America,0.75,1951-1980,
2004-07,2004,7,Europe,0.939,1951-1980,
2004-07,2004,7,Asia,0.707,1951-1980,
2004-08,2004,8,Global,0.562,1951-1980,377.38
2004-08,2004,8,Arctic,1.917,1951-1980,
2004-08,2004,8,Northern_Hemisphere,0.679,1951-1980,
2004-08,2004,8,Southern_Hemisphere,0.462,1951-1980,
2004-08,2004,8,Tropics,0.256,1951-1980,
2004-08,2004,8,North_America,0.774,1951-1980,
2004-08,2004,8,Europe,0.903,1951-1980,
2004-08,2004,8,Asia,0.682,1951-1980,
2004-09,2004,9,Global,0.513,1951-1980,375.09
2004-09,2004,9,Arctic,1.953,1951-1980,
2004-09,2004,9,Northern_Hemisphere,0.723,1951-1980,
2004-09,2004,9,Southern_Hemisphere,0.395,1951-1980,
2004-09,2004,9,Tropics,0.32,1951-1980,
2004-09,2004,9,North_America,0.782,1951-1980,
2004-09,2004,9,Europe,0.905,1951-1980,
2004-09,2004,9,Asia,0.649,1951-1980,
2004-10,2004,10,Global,0.554,1951-1980,373.88
2004-10,2004,10,Arctic,1.95,1951-1980,
2004-10,2004,10,Northern_Hemisphere,0.755,1951-1980,
2004-10,2004,10,Southern_Hemisphere,0.448,1951-1980,
2004-10,2004,10,Tropics,0.326,1951-1980,
2004-10,2004,10,North_America,0.785,1951-1980,
2004-10,2004,10,Europe,0.884,1951-1980,
2004-10,2004,10,Asia,0.663,1951-1980,
2004-11,2004,11,Global,0.519,1951-1980,373.62
2004-11,2004,11,Arctic,1.893,1951-1980,
2004-11,2004,11,Northern_Hemisphere,0.739,1951-1980,
2004-11,2004,11,Southern_Hemisphere,0.404,1951-1980,
2004-11,2004,11,Tropics,0.291,1951-1980,
2004-11,2004,11,North_America,0.812,1951-1980,
2004-11,2004,11,Europe,0.892,1951-1980,
2004-11,2004,11,Asia,0.684,1951-1980,
2004-12,2004,12,Global,0.542,1951-1980,373.96
2004-12,2004,12,Arctic,1.893,1951-1980,
2004-12,2004,12,Northern_Hemisphere,0.707,1951-1980,
2004-12,2004,12,Southern_Hemisphere,0.326,1951-1980,
2004-12,2004,12,Tropics,0.36,1951-1980,
2004-12,2004,12,North_America,0.745,1951-1980,
2004-12,2004,12,Europe,0.862,1951-1980,
2004-12,2004,12,Asia,0.665,1951-1980,
2005-01,2005,1,Global,0.617,1951-1980,377.29
2005-01,2005,1,Arctic,1.894,1951-1980,
2005-01,2005,1,Northern_Hemisphere,0.717,1951-1980,
2005-01,2005,1,Southern_Hemisphere,0.404,1951-1980,
2005-01,2005,1,Tropics,0.396,1951-1980,
2005-01,2005,1,North_America,0.79,1951-1980,
2005-01,2005,1,Europe,0.921,1951-1980,
2005-01,2005,1,Asia,0.651,1951-1980,
2005-02,2005,2,Global,0.62,1951-1980,378.88
2005-02,2005,2,Arctic,1.933,1951-1980,
2005-02,2005,2,Northern_Hemisphere,0.764,1951-1980,
2005-02,2005,2,Southern_Hemisphere,0.443,1951-1980,
2005-02,2005,2,Tropics,0.393,1951-1980,
2005-02,2005,2,North_America,0.774,1951-1980,
2005-02,2005,2,Europe,0.931,1951-1980,
2005-02,2005,2,Asia,0.752,1951-1980,
2005-03,2005,3,Global,0.666,1951-1980,381.14
2005-03,2005,3,Arctic,2.032,1951-1980,
2005-03,2005,3,Northern_Hemisphere,0.798,1951-1980,
2005-03,2005,3,Southern_Hemisphere,0.455,1951-1980,
2005-03,2005,3,Tropics,0.39,1951-1980,
2005-03,2005,3,North_America,0.837,1951-1980,
2005-03,2005,3,Europe,0.969,1951-1980,
2005-03,2005,3,Asia,0.765,1951-1980,
2005-04,2005,4,Global,0.64,1951-1980,382.14
2005-04,2005,4,Arctic,2.035,1951-1980,
2005-04,2005,4,Northern_Hemisphere,0.767,1951-1980,
2005-04,2005,4,Southern_Hemisphere,0.42,1951-1980,
2005-04,2005,4,Tropics,0.405,1951-1980,
2005-04,2005,4,North_America,0.862,1951-1980,
