year,country,iso3,region,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,solar_pct,wind_pct,other_renewables_pct,renewables_total_pct,fossil_total_pct
2003,Japan,JPN,Asia,19.08,46.78,13.49,14.79,3.72,0.32,0.33,1.48,5.85,79.36
2004,Japan,JPN,Asia,19.63,46.11,14.09,14.42,3.69,0.04,0.26,1.76,5.74,79.84
2005,Japan,JPN,Asia,19.87,45.41,14.53,14.06,3.41,0.5,0.26,1.97,6.13,79.8
2006,Japan,JPN,Asia,20.21,44.14,14.49,13.37,3.69,0.77,0.86,2.48,7.8,78.83
2007,Japan,JPN,Asia,20.75,42.92,15.16,13.31,3.28,1.19,0.62,2.77,7.86,78.83
2008,Japan,JPN,Asia,21.18,42.89,16.35,12.6,3.1,0.59,0.55,2.73,6.99,80.41
2009,Japan,JPN,Asia,21.53,41.76,16.59,12.01,3.35,0.83,1.01,2.92,8.11,79.88
2010,Japan,JPN,Asia,22.36,41.13,16.64,12.06,3.05,0.8,1.03,2.94,7.82,80.12
2011,Japan,JPN,Asia,22.77,41.2,17.92,9.73,3.11,1.65,0.99,2.62,8.38,81.89
2012,Japan,JPN,Asia,23.86,41.01,19.23,7.71,3.53,1.92,0.72,2.02,8.19,84.1
2013,Japan,JPN,Asia,25.28,41.38,20.04,5.09,3.37,2.18,1.0,1.66,8.21,86.7
2014,Japan,JPN,Asia,26.02,40.91,21.22,3.17,3.94,2.64,0.72,1.38,8.68,88.15
2015,Japan,JPN,Asia,26.84,41.11,21.92,1.08,3.74,3.01,1.12,1.19,9.06,89.86
2016,Japan,JPN,Asia,26.39,40.31,22.19,1.91,3.7,3.71,1.56,0.24,9.21,88.89
2017,Japan,JPN,Asia,26.01,39.97,22.0,2.26,4.19,4.65,0.91,0.0,9.76,87.98
2018,Japan,JPN,Asia,25.44,38.93,22.55,2.65,3.94,5.45,1.04,0.0,10.43,86.92
2019,Japan,JPN,Asia,25.08,37.99,22.46,3.06,4.03,6.42,0.95,0.0,11.41,85.54
2020,Japan,JPN,Asia,24.21,37.28,22.69,4.04,3.71,6.88,1.18,0.0,11.77,84.19
2021,Japan,JPN,Asia,23.86,37.22,22.12,4.33,4.02,7.38,1.08,0.0,12.48,83.2
2022,Japan,JPN,Asia,23.52,36.92,22.23,4.89,3.46,7.61,1.37,0.0,12.44,82.67
2023,Japan,JPN,Asia,22.92,36.5,22.05,5.27,3.79,8.06,1.41,0.0,13.26,81.47
2024,Japan,JPN,Asia,22.69,36.02,21.53,5.95,3.83,8.47,1.5,0.0,13.8,80.24
2025,Japan,JPN,Asia,22.2,36.02,21.05,6.28,4.18,8.74,1.52,0.0,14.45,79.28
2026,Japan,JPN,Asia,21.54,35.91,21.21,6.98,4.03,8.4,1.92,0.0,14.35,78.67
2000,Germany,DEU,Europe,25.66,38.54,20.61,12.75,1.7,0.0,0.74,0.0,2.44,84.81
2001,Germany,DEU,Europe,25.19,38.01,20.82,12.65,1.77,0.0,1.56,0.0,3.33,84.02
2002,Germany,DEU,Europe,25.41,37.48,21.38,12.42,1.43,0.24,1.65,0.0,3.31,84.27
2003,Germany,DEU,Europe,25.3,36.23,21.41,12.29,1.87,0.57,2.33,0.0,4.77,82.94
2004,Germany,DEU,Europe,25.33,35.97,21.31,12.3,1.69,0.9,2.5,0.0,5.09,82.62
2005,Germany,DEU,Europe,24.84,35.49,22.06,12.31,1.43,0.87,2.69,0.31,5.3,82.39
2006,Germany,DEU,Europe,24.81,34.79,22.76,11.83,1.14,1.16,3.2,0.32,5.81,82.36
2007,Germany,DEU,Europe,24.49,33.95,22.1,11.91,1.36,1.35,3.95,0.89,7.55,80.54
2008,Germany,DEU,Europe,24.26,33.27,22.45,11.44,1.34,1.62,4.12,1.49,8.58,79.98
2009,Germany,DEU,Europe,24.27,33.0,23.04,11.15,0.94,1.74,4.53,1.32,8.54,80.31
2010,Germany,DEU,Europe,23.9,32.09,23.28,11.12,0.48,2.13,4.89,2.09,9.6,79.28
2011,Germany,DEU,Europe,23.85,31.97,22.44,10.33,1.26,2.58,5.78,1.78,11.4,78.27
2012,Germany,DEU,Europe,24.13,32.04,22.42,9.71,1.14,3.01,5.96,1.6,11.71,78.59
2013,Germany,DEU,Europe,23.93,33.0,21.94,9.16,1.0,3.56,6.83,0.59,11.97,78.86
2014,Germany,DEU,Europe,23.9,32.96,21.44,8.3,1.17,4.4,7.29,0.55,13.4,78.3
2015,Germany,DEU,Europe,23.91,32.69,21.32,7.98,0.98,4.91,8.22,0.0,14.11,77.92
2016,Germany,DEU,Europe,21.55,32.75,22.12,7.65,0.93,5.98,9.01,0.0,15.92,76.43
2017,Germany,DEU,Europe,19.98,33.22,22.79,7.06,1.04,6.14,9.77,0.0,16.96,75.98
2018,Germany,DEU,Europe,18.12,32.59,23.62,6.46,1.15,7.12,10.94,0.0,19.21,74.33
2019,Germany,DEU,Europe,15.99,33.15,24.61,6.29,0.7,7.69,11.57,0.0,19.96,73.76
2020,Germany,DEU,Europe,13.93,33.75,25.81,5.38,0.38,8.32,12.43,0.0,21.13,73.49
2021,Germany,DEU,Europe,13.84,33.83,25.3,4.25,0.97,9.19,12.61,0.0,22.77,72.98
2022,Germany,DEU,Europe,13.07,34.52,25.3,3.14,0.95,9.64,13.37,0.0,23.96,72.9
2023,Germany,DEU,Europe,12.69,35.7,25.49,1.37,1.0,10.16,13.6,0.0,24.75,73.88
2024,Germany,DEU,Europe,12.04,36.22,25.2,0.11,0.99,10.74,14.0,0.7,26.42,73.47
2025,Germany,DEU,Europe,11.04,35.57,24.53,0.0,1.05,11.9,14.26,1.65,28.85,71.15
2026,Germany,DEU,Europe,10.13,35.07,23.79,0.24,0.9,13.08,14.85,1.95,30.78,68.99
2000,Iran,IRN,MENA,0.0,50.08,45.44,0.59,2.78,0.0,0.0,1.1,3.88,95.52
2001,Iran,IRN,MENA,0.42,49.48,45.23,0.29,0.27,0.0,1.31,3.0,4.58,95.13
2002,Iran,IRN,MENA,0.9,48.67,44.1,1.18,1.56,0.0,0.0,3.57,5.14,93.68
2003,Iran,IRN,MENA,0.79,51.21,45.92,0.0,0.71,0.45,0.0,0.92,2.08,97.92
2004,Iran,IRN,MENA,2.45,47.25,45.12,0.55,0.95,1.3,0.0,2.36,4.62,94.83
2005,Iran,IRN,MENA,0.0,51.08,43.91,0.8,1.91,1.64,0.0,0.66,4.21,94.99
2006,Iran,IRN,MENA,0.32,49.92,43.74,1.0,1.34,0.89,0.77,2.03,5.02,93.98
2007,Iran,IRN,MENA,0.47,47.68,46.06,0.05,0.43,1.86,1.72,1.73,5.74,94.21
2008,Iran,IRN,MENA,1.54,46.64,44.89,0.93,2.21,0.99,0.07,2.73,6.0,93.07
2009,Iran,IRN,MENA,0.9,46.83,47.22,0.0,0.93,2.06,0.61,1.45,5.05,94.95
2010,Iran,IRN,MENA,0.81,47.7,43.75,3.14,0.78,2.51,0.05,1.26,4.6,92.26
2011,Iran,IRN,MENA,0.57,48.23,46.67,0.62,2.26,0.96,0.0,0.71,3.92,95.46
2012,Iran,IRN,MENA,2.42,46.37,45.12,1.95,0.85,0.92,0.0,2.37,4.14,93.91
2013,Iran,IRN,MENA,0.0,48.07,45.28,1.38,1.48,1.57,0.0,2.22,5.27,93.35
2014,Iran,IRN,MENA,0.37,44.94,46.04,0.0,1.48,4.12,0.56,2.48,8.64,91.36
2015,Iran,IRN,MENA,1.13,47.81,43.13,0.97,1.64,2.64,1.7,0.97,6.96,92.07
2016,Iran,IRN,MENA,2.9,46.41,42.85,1.47,2.07,1.79,0.0,2.5,6.36,92.17
2017,Iran,IRN,MENA,1.27,46.49,45.0,0.0,0.81,2.52,1.57,2.34,7.24,92.76
2018,Iran,IRN,MENA,1.53,45.68,42.34,1.55,1.59,4.58,2.74,0.0,8.9,89.55
2019,Iran,IRN,MENA,0.62,46.5,46.06,1.03,0.78,4.77,0.0,0.23,5.79,93.18
2020,Iran,IRN,MENA,0.0,47.1,45.02,0.98,0.86,3.15,1.69,1.2,6.9,92.12
2021,Iran,IRN,MENA,2.04,45.27,44.49,0.43,0.98,4.7,0.39,1.69,7.77,91.8
2022,Iran,IRN,MENA,0.19,46.62,44.51,1.86,1.06,5.76,0.0,0.0,6.83,91.32
2023,Iran,IRN,MENA,0.4,46.14,45.54,1.69,1.04,4.12,0.52,0.54,6.22,92.09
2024,Iran,IRN,MENA,2.58,43.55,42.6,1.75,0.76,6.49,0.39,1.88,9.52,88.73
2025,Iran,IRN,MENA,2.13,45.71,45.29,1.78,1.61,3.48,0.0,0.0,5.09,93.13
2026,Iran,IRN,MENA,1.64,46.06,46.16,0.0,0.0,4.66,0.34,1.15,6.14,93.86
2000,South Korea,KOR,Asia,35.05,36.71,11.8,3.07,9.03,0.0,0.0,4.34,13.37,83.56
2001,South Korea,KOR,Asia,35.2,34.59,10.45,3.84,9.62,0.0,1.07,5.24,15.93,80.23
2002,South Korea,KOR,Asia,34.64,33.23,11.69,2.38,10.39,1.28,0.21,6.18,18.06,79.56
2003,South Korea,KOR,Asia,34.3,34.33,12.44,0.66,10.51,0.84,0.05,6.87,18.27,81.06
2004,South Korea,KOR,Asia,32.28,36.15,13.0,2.49,9.68,0.0,0.48,5.92,16.08,81.43
2005,South Korea,KOR,Asia,34.37,34.46,11.16,0.66,12.27,0.26,2.24,4.57,19.34,80.0
2006,South Korea,KOR,Asia,31.83,33.75,12.3,3.74,9.86,2.03,0.64,5.84,18.38,77.88
2007,South Korea,KOR,Asia,32.91,32.56,14.9,1.61,10.45,2.31,0.01,5.25,18.02,80.37
2008,South Korea,KOR,Asia,32.23,32.92,14.34,2.48,10.02,2.11,1.15,4.75,18.03,79.49
2009,South Korea,KOR,Asia,31.56,32.5,16.67,0.93,9.38,1.91,3.41,3.63,18.33,80.74
2010,South Korea,KOR,Asia,31.16,32.88,14.45,3.57,11.07,2.21,1.71,2.94,17.93,78.5
2011,South Korea,KOR,Asia,32.47,33.76,15.1,0.78,10.95,1.33,1.94,3.69,17.9,81.33
2012,South Korea,KOR,Asia,28.71,32.91,14.93,3.51,11.24,2.39,3.25,3.06,19.94,76.55
2013,South Korea,KOR,Asia,30.1,31.33,13.77,3.05,10.72,4.32,2.17,4.53,21.74,75.21
2014,South Korea,KOR,Asia,30.36,32.85,15.89,2.76,10.92,2.16,2.04,3.02,18.14,79.1
2015,South Korea,KOR,Asia,29.48,33.72,14.97,2.7,10.75,1.97,1.78,4.63,19.13,78.17
2016,South Korea,KOR,Asia,25.88,30.87,16.75,3.61,10.35,5.18,2.67,4.7,22.89,73.5
2017,South Korea,KOR,Asia,27.6,31.23,15.0,3.84,11.3,5.84,2.16,3.03,22.33,73.83
2018,South Korea,KOR,Asia,28.54,31.19,16.02,2.0,10.13,3.66,3.31,5.15,22.25,75.75
2019,South Korea,KOR,Asia,28.26,30.89,14.46,2.82,11.7,4.09,2.76,5.03,23.58,73.6
2020,South Korea,KOR,Asia,27.61,33.25,15.7,1.76,11.1,4.14,2.85,3.59,21.67,76.57
2021,South Korea,KOR,Asia,25.95,29.31,16.06,2.23,10.41,8.98,3.64,3.41,26.45,71.32
2022,South Korea,KOR,Asia,25.2,30.08,16.84,2.31,9.97,7.69,4.62,3.3,25.58,72.12
2023,South Korea,KOR,Asia,25.76,32.96,17.82,1.2,11.06,7.45,1.15,2.6,22.27,76.54
2024,South Korea,KOR,Asia,25.93,31.44,17.2,2.11,10.84,6.06,4.28,2.14,23.32,74.57
2025,South Korea,KOR,Asia,24.25,31.23,18.19,3.92,9.55,5.99,5.25,1.61,22.41,73.67
2026,South Korea,KOR,Asia,26.39,31.49,18.96,2.32,9.23,6.83,2.72,2.05,20.83,76.85
2000,Indonesia,IDN,Asia,34.11,34.11,10.48,2.56,10.0,1.44,0.54,6.75,18.75,78.69
2001,Indonesia,IDN,Asia,34.8,35.49,10.85,1.9,9.88,0.03,0.59,6.46,16.96,81.14
2002,Indonesia,IDN,Asia,35.17,34.98,11.91,3.22,10.51,0.0,0.12,4.09,14.72,82.06
2003,Indonesia,IDN,Asia,32.68,33.02,11.69,3.57,8.53,1.46,2.55,6.49,19.04,77.39
2004,Indonesia,IDN,Asia,35.11,34.76,12.14,1.83,9.78,0.38,0.3,5.71,16.17,82.0
2005,Indonesia,IDN,Asia,34.02,33.24,12.64,2.06,9.94,3.23,1.02,3.86,18.04,79.9
2006,Indonesia,IDN,Asia,32.73,33.99,13.11,1.01,11.62,0.54,1.57,5.44,19.17,79.82
2007,Indonesia,IDN,Asia,32.37,34.78,13.95,1.68,10.93,1.23,1.22,3.84,17.21,81.1
2008,Indonesia,IDN,Asia,31.43,34.1,14.46,0.62,10.68,1.36,2.55,4.81,19.4,79.99
2009,Indonesia,IDN,Asia,30.8,33.77,13.33,3.66,10.13,2.3,2.0,4.01,18.44,77.9
2010,Indonesia,IDN,Asia,30.98,34.73,13.7,1.33,11.24,3.34,0.3,4.38,19.26,79.41
2011,Indonesia,IDN,Asia,29.86,34.66,15.44,2.0,10.58,1.61,1.02,4.84,18.04,79.96
2012,Indonesia,IDN,Asia,30.83,32.59,15.01,2.54,9.83,2.93,1.42,4.85,19.03,78.43
2013,Indonesia,IDN,Asia,30.4,32.68,13.82,1.5,10.39,4.97,2.15,4.09,21.6,76.9
2014,Indonesia,IDN,Asia,29.68,31.01,16.45,2.71,9.28,3.58,1.62,5.67,20.15,77.14
2015,Indonesia,IDN,Asia,29.34,32.61,16.2,1.86,10.3,4.36,0.76,4.57,19.99,78.15
2016,Indonesia,IDN,Asia,28.55,31.78,15.59,2.85,11.24,3.1,2.1,4.78,21.22,75.93
2017,Indonesia,IDN,Asia,27.88,31.0,17.99,3.15,10.72,4.11,1.56,3.59,19.98,76.87
2018,Indonesia,IDN,Asia,28.14,31.22,16.18,2.42,9.41,4.56,3.41,4.66,22.04,75.54
2019,Indonesia,IDN,Asia,26.5,31.88,15.62,3.18,9.74,6.63,2.49,3.96,22.82,74.0
2020,Indonesia,IDN,Asia,28.21,30.6,16.72,2.53,9.59,5.0,4.23,3.13,21.94,75.53
2021,Indonesia,IDN,Asia,27.85,31.68,15.65,3.37,8.7,6.36,2.76,3.63,21.45,75.18
2022,Indonesia,IDN,Asia,26.07,31.9,18.59,2.11,9.7,6.59,3.99,1.06,21.34,76.56
2023,Indonesia,IDN,Asia,27.65,30.53,17.67,2.69,7.99,6.74,2.92,3.82,21.47,75.84
2024,Indonesia,IDN,Asia,24.33,29.15,15.96,3.61,8.39,8.29,5.65,4.63,26.95,69.44
2025,Indonesia,IDN,Asia,25.81,29.14,18.33,2.77,8.18,7.97,4.82,2.99,23.95,73.28
2026,Indonesia,IDN,Asia,25.37,31.38,17.26,4.21,8.96,7.77,3.37,1.68,21.78,74.01
2000,Saudi Arabia,SAU,MENA,1.23,49.28,45.48,0.0,0.24,0.0,0.0,3.77,4.01,95.99
2001,Saudi Arabia,SAU,MENA,3.02,48.94,43.33,0.69,1.84,0.0,0.27,1.91,4.02,95.29
2002,Saudi Arabia,SAU,MENA,0.43,49.19,45.38,0.02,1.45,0.0,0.2,3.31,4.97,95.0
2003,Saudi Arabia,SAU,MENA,0.83,50.23,43.11,0.53,1.03,2.49,0.0,1.78,5.3,94.17
2004,Saudi Arabia,SAU,MENA,2.36,46.44,42.93,1.28,1.14,2.24,0.58,3.04,6.99,91.73
2005,Saudi Arabia,SAU,MENA,0.65,49.24,45.65,0.0,1.51,0.59,0.0,2.35,4.45,95.55
2006,Saudi Arabia,SAU,MENA,0.0,48.83,43.81,2.12,0.6,1.76,0.4,2.47,5.23,92.64
2007,Saudi Arabia,SAU,MENA,1.11,47.15,46.16,0.92,1.8,2.04,0.0,0.82,4.66,94.43
2008,Saudi Arabia,SAU,MENA,1.62,47.0,44.83,0.8,1.97,1.91,0.58,1.29,5.76,93.44
